game_id,round_id,player_id,to_hare1,to_hare2,to_stag1,chat_visible,others_visible,action
39,2,player1,0,2,7,True,True,hare
39,2,player2,0,2,7,True,True,hare
39,3,player1,4,9,4,True,True,hare
39,3,player2,1,4,7,True,True,hare
39,4,player1,0,4,6,True,True,hare
39,4,player2,3,1,7,True,True,hare
39,5,player1,1,0,7,True,True,hare
39,5,player2,1,0,7,True,True,hare
40,1,player1,4,10,0,True,True,hare
40,1,player2,9,1,11,True,True,hare
40,2,player1,7,16,1,True,True,hare
40,2,player2,1,8,9,True,True,hare
40,3,player1,12,15,2,True,True,hare
40,3,player2,3,0,13,True,True,hare
40,4,player1,8,14,10,True,True,stag
40,4,player2,6,14,4,True,True,stag
40,5,player1,17,18,2,True,True,stag
40,5,player2,18,19,3,True,True,stag
41,1,player1,5,10,1,False,True,miss
41,1,player2,9,2,13,False,True,miss
41,2,player1,15,8,2,False,True,miss
41,2,player2,0,13,15,False,True,miss
41,3,player1,14,18,13,False,True,stag
41,3,player2,13,17,12,False,True,stag
41,4,player1,19,5,1,False,True,hare
41,4,player2,19,3,7,False,True,hare
41,5,player1,2,13,2,False,True,miss
41,5,player2,15,0,15,False,True,miss
42,1,player1,17,1,3,False,False,hare
42,1,player2,21,3,5,False,False,hare
42,2,player1,9,12,1,False,False,hare
42,2,player2,3,14,13,False,False,hare
42,3,player1,7,0,9,False,False,hare
42,3,player2,4,7,12,False,False,hare
42,4,player1,14,5,6,False,False,hare
42,4,player2,18,1,10,False,False,hare
42,5,player1,8,1,8,False,False,miss
42,5,player2,14,7,8,False,False,miss
43,1,player1,0,5,10,False,True,miss
43,1,player2,12,7,10,False,True,miss
43,2,player1,9,14,6,False,True,stag
43,2,player2,10,15,7,False,True,stag
43,3,player1,5,2,4,False,True,stag
43,3,player2,4,3,5,False,True,stag
43,4,player1,0,20,14,False,True,miss
43,4,player2,14,8,6,False,True,miss
43,5,player1,0,14,10,False,True,miss
43,5,player2,8,10,4,False,True,miss
44,2,player1,10,13,5,True,True,stag
44,2,player2,9,12,4,True,True,stag
44,3,player1,2,1,12,True,True,stag
44,3,player2,1,2,13,True,True,stag
44,4,player1,13,8,11,True,True,stag
44,4,player2,13,8,11,True,True,stag
44,5,player1,4,9,13,True,True,stag
44,5,player2,3,8,14,True,True,stag
45,2,player1,11,15,10,False,True,stag
45,2,player2,9,13,12,False,True,stag
45,3,player1,6,5,12,False,True,stag
45,3,player2,6,5,12,False,True,stag
45,4,player1,9,11,10,False,True,stag
45,4,player2,8,10,9,False,True,stag
45,5,player1,12,1,18,False,True,stag
45,5,player2,11,2,19,False,True,stag
46,1,player1,8,0,3,True,False,hare
46,1,player2,1,9,10,True,False,hare
46,2,player1,19,0,9,True,False,hare
46,2,player2,18,1,8,True,False,hare
46,3,player1,7,0,17,True,False,hare
46,3,player2,6,1,18,True,False,hare
46,4,player1,8,0,12,True,False,hare
46,4,player2,8,0,12,True,False,hare
46,5,player1,1,5,7,True,False,hare
46,5,player2,1,7,7,True,False,hare
47,2,player1,21,4,16,True,True,stag
47,2,player2,20,3,15,True,True,stag
47,3,player1,16,6,10,True,True,stag
47,3,player2,15,7,9,True,True,stag
47,4,player1,4,11,10,True,True,stag
47,4,player2,3,12,9,True,True,stag
47,5,player1,5,22,10,True,True,stag
47,5,player2,5,22,10,True,True,stag
48,1,player1,0,17,13,True,False,hare
48,1,player2,2,17,15,True,False,hare
48,2,player1,0,12,7,True,False,hare
48,2,player2,5,17,2,True,False,hare
48,3,player1,1,0,11,True,False,hare
48,3,player2,13,12,1,True,False,hare
48,4,player1,7,1,2,True,False,miss
48,4,player2,10,4,1,True,False,miss
48,5,player1,13,0,15,True,False,miss
48,5,player2,16,3,18,True,False,miss
49,1,player1,12,1,13,True,True,hare
49,1,player2,23,10,4,True,True,hare
49,2,player1,0,11,12,True,True,hare
49,2,player2,14,11,2,True,True,hare
49,3,player1,15,13,21,True,True,stag
49,3,player2,4,10,10,True,True,stag
49,4,player1,8,14,3,True,True,stag
49,4,player2,7,13,2,True,True,stag
49,5,player1,13,11,8,True,True,stag
49,5,player2,12,12,7,True,True,stag
50,1,player1,6,0,8,False,True,miss
50,1,player2,3,7,1,False,True,miss
50,2,player1,3,0,8,False,True,miss
50,2,player2,6,9,1,False,True,miss
50,3,player1,0,5,7,False,True,hare
50,3,player2,10,15,3,False,True,hare
50,4,player1,0,11,14,False,True,hare
50,4,player2,0,11,14,False,True,hare
50,5,player1,8,1,9,False,True,hare
50,5,player2,0,7,1,False,True,hare
51,1,player1,12,0,14,False,False,miss
